SWING t:2.200000, st:100.000000, T=0.138230, Kx:0.000070, Kz:0.004769, x_swing:0.002800, x_support:39.997200, z:0.214618
SWING t:2.400000, st:100.000000, T=0.150796, Kx:0.000091, Kz:0.005674, x_swing:0.003634, x_support:39.996366, z:0.255336
SWING t:2.400000, st:100.000000, T=0.150796, Kx:0.000091, Kz:0.005674, x_swing:0.003634, x_support:39.996366, z:0.255336
SWING t:2.400000, st:100.000000, T=0.150796, Kx:0.000091, Kz:0.005674, x_swing:0.003634, x_support:39.996366, z:0.255336
SWING t:2.400000, st:100.000000, T=0.150796, Kx:0.000091, Kz:0.005674, x_swing:0.003634, x_support:39.996366, z:0.255336
SWING t:2.600000, st:100.000000, T=0.163363, Kx:0.000115, Kz:0.006657, x_swing:0.004620, x_support:39.995380, z:0.299566
SWING t:2.600000, st:100.000000, T=0.163363, Kx:0.000115, Kz:0.006657, x_swing:0.004620, x_support:39.995380, z:0.299566
SWING t:2.600000, st:100.000000, T=0.163363, Kx:0.000115, Kz:0.006657, x_swing:0.004620, x_support:39.995380, z:0.299566
SWING t:2.600000, st:100.000000, T=0.163363, Kx:0.000115, Kz:0.006657, x_swing:0.004620, x_support:39.995380, z:0.299566
SWING t:2.800000, st:100.000000, T=0.175929, Kx:0.000144, Kz:0.007718, x_swing:0.005769, x_support:39.994231, z:0.347302
SWING t:2.800000, st:100.000000, T=0.175929, Kx:0.000144, Kz:0.007718, x_swing:0.005769, x_support:39.994231, z:0.347302
SWING t:2.800000, st:100.000000, T=0.175929, Kx:0.000144, Kz:0.007718, x_swing:0.005769, x_support:39.994231, z:0.347302
SWING t:2.800000, st:100.000000, T=0.175929, Kx:0.000144, Kz:0.007718, x_swing:0.005769, x_support:39.994231, z:0.347302
SWING t:3.000000, st:100.000000, T=0.188496, Kx:0.000177, Kz:0.008856, x_swing:0.007094, x_support:39.992906, z:0.398537
SWING t:3.000000, st:100.000000, T=0.188496, Kx:0.000177, Kz:0.008856, x_swing:0.007094, x_support:39.992906, z:0.398537
SWING t:3.000000, st:100.000000, T=0.188496, Kx:0.000177, Kz:0.008856, x_swing:0.007094, x_support:39.992906, z:0.398537
SWING t:3.000000, st:100.000000, T=0.188496, Kx:0.000177, Kz:0.008856, x_swing:0.007094, x_support:39.992906, z:0.398537
SWING t:3.200000, st:100.000000, T=0.201062, Kx:0.000215, Kz:0.010072, x_swing:0.008607, x_support:39.991393, z:0.453261
SWING t:3.200000, st:100.000000, T=0.201062, Kx:0.000215, Kz:0.010072, x_swing:0.008607, x_support:39.991393, z:0.453261
SWING t:3.200000, st:100.000000, T=0.201062, Kx:0.000215, Kz:0.010072, x_swing:0.008607, x_support:39.991393, z:0.453261
SWING t:3.200000, st:100.000000, T=0.201062, Kx:0.000215, Kz:0.010072, x_swing:0.008607, x_support:39.991393, z:0.453261
SWING t:3.400000, st:100.000000, T=0.213628, Kx:0.000258, Kz:0.011366, x_swing:0.010321, x_support:39.989679, z:0.511467
SWING t:3.400000, st:100.000000, T=0.213628, Kx:0.000258, Kz:0.011366, x_swing:0.010321, x_support:39.989679, z:0.511467
SWING t:3.400000, st:100.000000, T=0.213628, Kx:0.000258, Kz:0.011366, x_swing:0.010321, x_support:39.989679, z:0.511467
SWING t:3.400000, st:100.000000, T=0.213628, Kx:0.000258, Kz:0.011366, x_swing:0.010321, x_support:39.989679, z:0.511467
SWING t:3.600000, st:100.000000, T=0.226195, Kx:0.000306, Kz:0.012737, x_swing:0.012248, x_support:39.987752, z:0.573145
SWING t:3.600000, st:100.000000, T=0.226195, Kx:0.000306, Kz:0.012737, x_swing:0.012248, x_support:39.987752, z:0.573145
SWING t:3.600000, st:100.000000, T=0.226195, Kx:0.000306, Kz:0.012737, x_swing:0.012248, x_support:39.987752, z:0.573145
