I/elog            [] EasyLogger V2.2.99 is initialize success.
I/MAIN            [] Dog Init Success
D/GAIT            []  SWING t:60.000000, st:250.000000, x_swing:112.141179, x_support:-77.141179, z:65.604667
D/GAIT            []  SWING t:61.000000, st:250.000000, x_swing:117.390466, x_support:-82.390466, z:67.361690
D/GAIT            []  SWING t:62.000000, st:250.000000, x_swing:122.778555, x_support:-87.778555, z:69.120380
D/GAIT            []  SWING t:63.000000, st:250.000000, x_swing:128.305534, x_support:-93.305534, z:70.879626
D/GAIT            []  SWING t:64.000000, st:250.000000, x_swing:133.971403, x_support:-98.971403, z:72.638316
D/GAIT            []  SWING t:65.000000, st:250.000000, x_swing:139.776074, x_support:-104.776074, z:74.395340
D/GAIT            []  SWING t:66.000000, st:250.000000, x_swing:145.719372, x_support:-110.719372, z:76.149587
D/GAIT            []  SWING t:67.000000, st:250.000000, x_swing:151.801033, x_support:-116.801033, z:77.899950
D/GAIT            []  SWING t:68.000000, st:250.000000, x_swing:158.020708, x_support:-123.020708, z:79.645324
D/GAIT            []  SWING t:69.000000, st:250.000000, x_swing:164.377959, x_support:-129.377959, z:81.384605
D/GAIT            []  SWING t:70.000000, st:250.000000, x_swing:170.872261, x_support:-135.872261, z:83.116695
D/GAIT            []  SWING t:71.000000, st:250.000000, x_swing:177.503004, x_support:-142.503004, z:84.840501
D/GAIT            []  SWING t:72.000000, st:250.000000, x_swing:184.269490, x_support:-149.269490, z:86.554933
D/GAIT            []  SWING t:73.000000, st:250.000000, x_swing:191.170937, x_support:-156.170937, z:88.258909
D/GAIT            []  SWING t:74.000000, st:250.000000, x_swing:198.206476, x_support:-163.206476, z:89.951352
D/GAIT            []  SWING t:75.000000, st:250.000000, x_swing:205.375154, x_support:-170.375154, z:91.631193
D/GAIT            []  SWING t:76.000000, st:250.000000, x_swing:212.675935, x_support:-177.675935, z:93.297372
D/GAIT            []  SWING t:77.000000, st:250.000000, x_swing:220.107698, x_support:-185.107698, z:94.948835
D/GAIT            []  SWING t:78.000000, st:250.000000, x_swing:227.669240, x_support:-192.669240, z:96.584540
D/GAIT            []  SWING t:79.000000, st:250.000000, x_swing:235.359276, x_support:-200.359276, z:98.203454
D/GAIT            []  SWING t:80.000000, st:250.000000, x_swing:243.176440, x_support:-208.176440, z:99.804554
D/GAIT            []  SWING t:81.000000, st:250.000000, x_swing:251.119285, x_support:-216.119285, z:101.386829
D/GAIT            []  SWING t:82.000000, st:250.000000, x_swing:259.186285, x_support:-224.186285, z:102.949279
D/GAIT            []  SWING t:83.000000, st:250.000000, x_swing:267.375837, x_support:-232.375837, z:104.490917
D/GAIT            []  SWING t:84.000000, st:250.000000, x_swing:275.686257, x_support:-240.686257, z:106.010771
D/GAIT            []  SWING t:85.000000, st:250.000000, x_swing:284.115789, x_support:-249.115789, z:107.507879
